URL,Date,time,ID,FirstByte,FirstByte Repeat,StartRender,StartRender Repeat,DocumentComplete,DocumentComplete Repeat,FullyLoaded,FullyLoaded Repeat,CacheScore,CDNScore,GzipScore,CookiesScore,keepAliveScore,minifyScore,combineScore,compressScore,eTagsScore
http://www.invitrogen.com,2011/03/25,10:40:44,110325_H7_c23a8266545082b1850947c36b359078,0.3,0.263,2.33,1.008,4.591,1.507,5.998,2.381,39,98,97,10,100,79,0,64,10
http://www.amazon.com,2011/03/25,10:43:59,110325_GY_003fdd66efffc79893040a9e132c97be,0.343,0.343,0.919,0.609,2.859,1.686,4.895,2.519,94,97,100,95,100,94,95,98,97
http://www.qvc.com,2011/03/25,10:40:45,110325_2V_3f86a714c005f167a32f300a79ab8721,0.302,0.252,1.616,0.769,4.525,2.526,5.689,2.51,23,91,97,24,100,71,5,45,27
http://www.invitrogen.com,2011/03/25,10:40:44,110325_H7_c23a8266545082b1850947c36b359078,0.3,0.263,2.33,1.008,4.591,1.507,5.998,2.381,39,98,97,10,100,79,0,64,10
http://www.dell.com,2011/03/25,10:44:09,110325_JT_30ec5f3c9b29a5f842b66208afeb9048,0.431,0.358,2.479,1.33,2.748,1.086,3.386,1.615,46,86,91,17,100,89,15,64,28
http://www.ebay.com,2011/03/25,10:40:51,110325_BN_472bbb061c10c600953263052dc873a6,0.76,0.706,2.214,1.098,4.68,1.612,5.162,2.556,93,68,100,94,100,92,70,93,100
http://www.amazon.com,2011/03/25,10:43:59,110325_GY_003fdd66efffc79893040a9e132c97be,0.343,0.343,0.919,0.609,2.859,1.686,4.895,2.519,94,97,100,95,100,94,95,98,97
http://www.qvc.com,2011/03/25,10:40:45,110325_2V_3f86a714c005f167a32f300a79ab8721,0.302,0.252,1.616,0.769,4.525,2.526,5.689,2.51,23,91,97,24,100,71,5,45,27
http://www.fogdog.com,2011/03/25,10:44:07,110325_BF_bc6a0990407c3b41342dcc7298be1316,0.41,0.367,5.108,0.678,7.2,3.089,9.103,5.257,38,85,38,89,87,99,5,67,26
http://www.agilent.com,2011/03/25,10:44:17,110325_C4_12e5e8a2fb810994a7c9910951545e5d,0.688,0.575,1.885,1.142,3.456,1.48,5.708,2.28,31,95,100,84,96,89,65,58,7
http://www.dell.com,2011/03/25,10:44:09,110325_JT_30ec5f3c9b29a5f842b66208afeb9048,0.431,0.358,2.479,1.33,2.748,1.086,3.386,1.615,46,86,91,17,100,89,15,64,28
http://www.ebay.com,2011/03/25,10:40:51,110325_BN_472bbb061c10c600953263052dc873a6,0.76,0.706,2.214,1.098,4.68,1.612,5.162,2.556,93,68,100,94,100,92,70,93,100
http://www.invitrogen.com,2011/03/25,10:40:44,110325_H7_c23a8266545082b1850947c36b359078,0.3,0.263,2.33,1.008,4.591,1.507,5.998,2.381,39,98,97,10,100,79,0,64,10
http://www.schwans.com,2011/03/25,10:44:13,110325_PX_9d56728359af61b9f8f66e8df5393abb,0.325,0.284,1.566,1.163,6.033,1.758,10.479,9.253,46,77,99,16,100,93,60,44,25
http://www.amazon.com,2011/03/25,10:43:59,110325_GY_003fdd66efffc79893040a9e132c97be,0.343,0.343,0.919,0.609,2.859,1.686,4.895,2.519,94,97,100,95,100,94,95,98,97
http://www.proflowers.com,2011/03/25,10:40:56,110325_84_9ee01cb088d100fe554878a795ba35d9,0.725,0.549,3.544,1.513,9.198,4.752,10.334,4.735,16,97,28,95,100,82,35,80,20
http://www.qvc.com,2011/03/25,10:40:45,110325_2V_3f86a714c005f167a32f300a79ab8721,0.302,0.252,1.616,0.769,4.525,2.526,5.689,2.51,23,91,97,24,100,71,5,45,27
http://www.fogdog.com,2011/03/25,10:44:07,110325_BF_bc6a0990407c3b41342dcc7298be1316,0.41,0.367,5.108,0.678,7.2,3.089,9.103,5.257,38,85,38,89,87,99,5,67,26
http://www.agilent.com,2011/03/25,10:44:17,110325_C4_12e5e8a2fb810994a7c9910951545e5d,0.688,0.575,1.885,1.142,3.456,1.48,5.708,2.28,31,95,100,84,96,89,65,58,7
http://www.dell.com,2011/03/25,10:44:09,110325_JT_30ec5f3c9b29a5f842b66208afeb9048,0.431,0.358,2.479,1.33,2.748,1.086,3.386,1.615,46,86,91,17,100,89,15,64,28
http://www.ebay.com,2011/03/25,10:40:51,110325_BN_472bbb061c10c600953263052dc873a6,0.76,0.706,2.214,1.098,4.68,1.612,5.162,2.556,93,68,100,94,100,92,70,93,100
http://www.invitrogen.com,2011/03/25,10:40:44,110325_H7_c23a8266545082b1850947c36b359078,0.3,0.263,2.33,1.008,4.591,1.507,5.998,2.381,39,98,97,10,100,79,0,64,10
http://www.schwans.com,2011/03/25,10:44:13,110325_PX_9d56728359af61b9f8f66e8df5393abb,0.325,0.284,1.566,1.163,6.033,1.758,10.479,9.253,46,77,99,16,100,93,60,44,25
http://www.proflowers.com,2011/03/25,10:40:56,110325_84_9ee01cb088d100fe554878a795ba35d9,0.725,0.549,3.544,1.513,9.198,4.752,10.334,4.735,16,97,28,95,100,82,35,80,20
